Epoch,Train Loss,Valid Loss,Train Accuracy,Valid Accuracy,Train Recall,Valid Recall,Train F1 Score,Valid F1 Score
1,3.0727469172002326,2.9118692826251595,0.8680765357502518,1.0,0.2799597180261833,0.40816326530612246,0.2233588096920489,0.29678594512015977
2,2.8824457874951164,2.739711521434135,1.0,1.0,0.4602215508559919,0.6462585034013606,0.44481299781699407,0.6432273245998738
3,2.696477604056413,2.737957829520816,1.0,1.0,0.6414904330312186,0.5782312925170068,0.6377233229863565,0.4915437439343554
4,2.8161371438524876,2.7945383276258196,0.8610271903323263,0.9523809523809523,0.5085599194360524,0.5238095238095238,0.41287592058160255,0.4356060606060606
5,2.824187515725542,2.7696179743526743,0.932527693856999,0.9931972789115646,0.49647532729103727,0.5510204081632653,0.4056942351073774,0.4502636843062375
6,2.7923018344099306,2.784174223335422,0.9617321248741189,0.9931972789115646,0.5307150050352467,0.5374149659863946,0.43246106159559106,0.44652684813327387
7,2.7870940093667604,2.634275639138254,0.9828801611278952,1.0,0.5327291037260826,0.6802721088435374,0.43567014191997516,0.6706807081807081
8,2.6429745212182296,2.5686476636095112,0.9879154078549849,1.0,0.6847935548841894,0.7551020408163265,0.6844762273512375,0.7569486991413902
9,2.621717276289864,2.62717807374033,0.9889224572004028,0.9931972789115646,0.7009063444108762,0.7006802721088435,0.7014636735418597,0.6891368451570326
10,2.622105498568409,2.6524695344522695,0.9788519637462235,0.9795918367346939,0.7059415911379657,0.6530612244897959,0.7030048670559937,0.6334363311107497
11,2.6092692163415547,2.5793209919313185,0.9838872104733132,0.9931972789115646,0.7190332326283988,0.7482993197278912,0.7175905303058147,0.7492478472870631
12,2.5818854357900936,2.5438759213402156,0.9848942598187311,0.9863945578231292,0.7452165156092648,0.782312925170068,0.7448196864105948,0.7838796888425669
13,2.5675624763857563,2.5436929910361363,0.9808660624370594,0.9931972789115646,0.7532729103726082,0.782312925170068,0.7533290718995921,0.7826836162997743
14,2.547683691090087,2.5857309889631206,0.9848942598187311,1.0,0.7764350453172205,0.7482993197278912,0.7763718970957622,0.749430043405947
15,2.5493045343012968,2.551409349960535,0.9879154078549849,0.9931972789115646,0.7724068479355488,0.7755102040816326,0.7712991811819826,0.7762426087465604
16,2.524509278669098,2.5709240404116054,0.9919436052366566,0.9931972789115646,0.8066465256797583,0.7551020408163265,0.8066781829718128,0.7523402340234023
17,2.5087302893190104,2.5750985421291013,0.9899295065458208,0.9931972789115646,0.8197381671701913,0.7551020408163265,0.8197219720185072,0.7532733224222585
18,2.5006860954403756,2.584939113279589,0.9909365558912386,1.0,0.8267875125881168,0.7414965986394558,0.8266248175035462,0.7374719652368937
